Number,Timestamp,IP
26.33, 1693841935, 109.92.107.112
33.39, 1693841936, 109.92.107.112
39.38, 1693841936, 109.92.107.112
76.97, 1693841937, 109.92.107.112
92.91, 1693841937, 109.92.107.112
80.94, 1693841938, 109.92.107.112
0.37, 1693841938, 109.92.107.112
2.93, 1693841939, 109.92.107.112
19.49, 1693841939, 109.92.107.112
60.6, 1693841940, 109.92.107.112
29.79, 1693841940, 109.92.107.112
99.41, 1693841941, 109.92.107.112
70.81, 1693841941, 109.92.107.112
4.03, 1693841942, 109.92.107.112
93.59, 1693841942, 109.92.107.112
99.6, 1693841943, 109.92.107.112
73.5, 1693841943, 109.92.107.112
59.65, 1693841944, 109.92.107.112
9.06, 1693841944, 109.92.107.112
93.17, 1693841945, 109.92.107.112
24.27, 1693841945, 109.92.107.112
56.33, 1693841946, 109.92.107.112
53.05, 1693841946, 109.92.107.112
42.3, 1693841947, 109.92.107.112
5.95, 1693841947, 109.92.107.112
71.6, 1693841948, 109.92.107.112
57.49, 1693841948, 109.92.107.112
83.93, 1693841949, 109.92.107.112
58.27, 1693841949, 109.92.107.112
48.27, 1693841950, 109.92.107.112
91.93, 1693841950, 109.92.107.112
91.35, 1693841951, 109.92.107.112
44.17, 1693841951, 109.92.107.112
36, 1693841952, 109.92.107.112
19.19, 1693841952, 109.92.107.112
27.38, 1693841953, 109.92.107.112
38.77, 1693841953, 109.92.107.112
32.86, 1693841954, 109.92.107.112
18.39, 1693841954, 109.92.107.112
50.56, 1693841955, 109.92.107.112
40.93, 1693841955, 109.92.107.112
70.48, 1693841956, 109.92.107.112
41.94, 1693841956, 109.92.107.112
76.91, 1693841957, 109.92.107.112
5.76, 1693841957, 109.92.107.112
81.42, 1693841958, 109.92.107.112
61.3, 1693841958, 109.92.107.112
45.12, 1693841959, 109.92.107.112
59.34, 1693841959, 109.92.107.112
59.7, 1693841960, 109.92.107.112
49.98, 1693841960, 109.92.107.112
56.21, 1693841961, 109.92.107.112
49.89, 1693841961, 109.92.107.112
46.74, 1693841962, 109.92.107.112
21.57, 1693841962, 109.92.107.112
10.14, 1693841963, 109.92.107.112
85.51, 1693841963, 109.92.107.112
16.54, 1693841964, 109.92.107.112
0.35, 1693841964, 109.92.107.112
75.19, 1693841965, 109.92.107.112
99.78, 1693841965, 109.92.107.112
13.87, 1693841966, 109.92.107.112
41.14, 1693841966, 109.92.107.112
31.61, 1693841967, 109.92.107.112
88.04, 1693841967, 109.92.107.112
94.23, 1693841968, 109.92.107.112
72.66, 1693841968, 109.92.107.112
45.95, 1693841969, 109.92.107.112
19.74, 1693841969, 109.92.107.112
0.54, 1693841970, 109.92.107.112
63.13, 1693841970, 109.92.107.112
66.88, 1693841971, 109.92.107.112
57.67, 1693841971, 109.92.107.112
1.09, 1693841972, 109.92.107.112
19.5, 1693841972, 109.92.107.112
32.01, 1693841973, 109.92.107.112
91.98, 1693841973, 109.92.107.112
9.96, 1693841974, 109.92.107.112
94.51, 1693841974, 109.92.107.112
62.3, 1693841975, 109.92.107.112
67.93, 1693841975, 109.92.107.112
1.57, 1693841976, 109.92.107.112
15.81, 1693841976, 109.92.107.112
17.34, 1693841977, 109.92.107.112
51.98, 1693841978, 109.92.107.112
38.09, 1693841978, 109.92.107.112
48.38, 1693841979, 109.92.107.112
82.28, 1693841979, 109.92.107.112
75.03, 1693841980, 109.92.107.112
32.37, 1693841980, 109.92.107.112
80.65, 1693841981, 109.92.107.112
69.92, 1693841981, 109.92.107.112
60.97, 1693841982, 109.92.107.112
6.28, 1693841982, 109.92.107.112
30.88, 1693841983, 109.92.107.112
67.73, 1693841983, 109.92.107.112
77.13, 1693841984, 109.92.107.112
2.49, 1693841984, 109.92.107.112
67.19, 1693841985, 109.92.107.112
87.36, 1693841985, 109.92.107.112
59.27, 1693841986, 109.92.107.112
